close,volume,date,high,low,open
236274737.09976405,197881483929546.56,2017-12-12 23:59:59.999000+00:00,241245691.19937667,224628032.7050916,229263300.5858756
222823345.3905702,176057603602547.25,2017-12-13 23:59:59.999000+00:00,239499602.40054744,217819128.65229017,237422500.00015545
224856300.00012368,187097089392594.0,2017-12-14 23:59:59.999000+00:00,231939745.6055963,219561738.79872283,222502862.6952577
240406586.603442,194258244787306.84,2017-12-15 23:59:59.999000+00:00,246441902.1974012,225362658.1055927,225362658.1055927
264716205.10343453,172979123593163.03,2017-12-16 23:59:59.999000+00:00,267693625.2928868,237805238.7069584,241131603.7069574
259874652.20695165,180772323331016.62,2017-12-17 23:59:59.999000+00:00,272748352.99991643,257611350.39640543,264422947.20695025
259570825.3905612,201475888458690.28,2017-12-18 23:59:59.999000+00:00,263000066.99991944,249181347.80287144,259407598.10343617
241318691.894664,229427307827143.6,2017-12-19 23:59:59.999000+00:00,260377001.2069515,234513560.30286336,259626524.6093112
225678939.6973897,300682171852965.4,2017-12-20 23:59:59.999000+00:00,243463541.89466515,218254780.15148723,241096083.1056013
214208314.79493472,224212842393723.3,2017-12-21 23:59:59.999000+00:00,238218001.40613943,207970301.14747345,225920585.30285865
187559205.35147548,300893884794898.06,2017-12-22 23:59:59.999000+00:00,216112792.29493484,160455479.99992555,215497390.00001293
199321154.64834505,177446161735597.66,2017-12-23 23:59:59.999000+00:00,211579394.64833933,187518525.35147548,189144374.64834973
188833845.35147488,156920384962487.2,2017-12-24 23:59:59.999000+00:00,198328559.999908,172858814.6483573,198087194.6483456
190200690.7030368,144613330698172.9,2017-12-25 23:59:59.999000+00:00,197881079.9999081,182367089.2967904,189784409.29678693
218313285.3514612,182440310169515.3,2017-12-26 23:59:59.999000+00:00,223213861.40614644,190231889.2967868,190336290.7030367
214754221.50000173,169331857735601.44,2017-12-27 23:59:59.999000+00:00,229583009.2967685,204934791.05175948,219177059.9998983
198078746.49992576,167270599595009.34,2017-12-28 23:59:59.999000+00:00,215430820.89648613,189003722.65129635,215101326.6035173
198811355.64931872,176638807669693.78,2017-12-29 23:59:59.999000+00:00,207061008.000054,194074454.99990693,199289741.1512925
175696595.6493298,196049516395426.0,2017-12-30 23:59:59.999000+00:00,199159978.79873264,167529101.20109156,199159978.79873264
192031571.29873604,164628902988721.06,2017-12-31 23:59:59.999000+00:00,195029436.2987346,173029708.7010889,174957303.14933017
185259920.6493252,139600127999933.06,2018-01-01 23:59:59.999000+00:00,191431995.64932227,178443508.1493285,191431995.64932227
202483076.22070727,228524131604370.44,2018-01-02 23:59:59.999000+00:00,208733763.72070745,178314120.3084735,184823124.99991137
204803072.9999964,228023730662404.7,2018-01-03 23:59:59.999000+00:00,209999205.3662697,199999948.4999964,202430375.6396525
209372465.02157265,293485050150906.75,2018-01-04 23:59:59.999000+00:00,211258256.02157345,194916971.0215665,205742143.7314416
233781883.4998581,319992547344518.94,2018-01-05 23:59:59.999000+00:00,237479837.1209497,203565489.3848845,207734981.021572
235089650.9998573,245653735808874.9,2018-01-06 23:59:59.999000+00:00,237576426.43930897,224863574.56041044,234219142.06040475
221014043.5604128,212810663150462.88,2018-01-07 23:59:59.999000+00:00,235795169.5604038,215784322.7195956,235093685.3787636
203673757.355466,246985637695338.1,2018-01-08 23:59:59.999000+00:00,221822857.9393185,190759295.82226303,220995260.12095964
196089204.2480772,223677156562940.97,2018-01-09 23:59:59.999000+00:00,207976450.00011188,193786440.00002995,203050798.82226285
201151309.5761844,248558254878758.4,2018-01-10 23:59:59.999000+00:00,201151309.5761844,183927583.4238396,195996497.50003028
179597499.98341292,222119098970125.8,2018-01-11 23:59:59.999000+00:00,201762556.5761844,175907395.0430429,201082801.42384064
186641004.78515247,161644180756493.03,2018-01-12 23:59:59.999000+00:00,189969170.21484,176279060.4668111,180241903.53321764
191708672.60741803,170394058291196.6,2018-01-13 23:59:59.999000+00:00,195704324.9999961,186264545.21484,186264545.21484
183856199.9999964,147972729446397.03,2018-01-14 23:59:59.999000+00:00,193732527.39257425,177127799.99999645,191850177.39257428
184273210.5956801,170223178291196.6,2018-01-15 23:59:59.999000+00:00,192616296.99997592,181912072.10456145,183793452.3925745
153248798.500032,251396568346592.56,2018-01-16 23:59:59.999000+00:00,184583890.1913832,135969386.50979403,184490552.1913832
149423747.78314516,251143714760756.47,2018-01-17 23:59:59.999000+00:00,155959689.9999395,125567583.47163096,152456575.49026623
